Norwood,42.2016,-71.1874,1085,28738.3,82.8
Richmond,42.799,-82.7411,956,42502.6,105.6
Flint,43.002,-83.7772,938,26906.57,67.8
Staten Island,40.562,-74.1986,937,39816.12,137.3
Braintree,42.2343,-70.9788,935,36508.73,75.8
Clinton Township,42.5616,-82.8946,924,31350.26,178.0
Barrington,42.1291,-88.1362,912,47664.64,75.7
Paramus,40.9229,-74.0824,794,27715.87,46.7
Washington,42.7725,-83.0121,784,26610.77,82.4
Rochester,43.0776,-77.6419,769,29820.82,48.9
Cranston,41.7485,-71.4523,767,36930.1,77.0
Redford,42.3658,-83.2753,756,31186.94,67.9
Wood-Ridge,40.8622,-74.0962,749,4860.89,55.8
Grand Ledge,42.7409,-84.7215,736,21043.45,59.3
Rochester Hills,42.6381,-83.1319,720,28442.2,61.4
Highland,42.6364,-83.6631,704,25525.59,60.1
East Rochester,43.1025,-77.48,702,26993.15,83.2
Pittsburgh,40.3209,-79.9421,686,31728.53,33.9
Norristown,40.1425,-75.3873,649,23097.26,95.2
Eatontown,40.2954,-74.0295,647,25104.77,38.3
Novi,42.4782,-83.464,642,25277.89,81.3
Danbury,41.4156,-73.4226,640,31668.59,107.6
Highland,42.6361,-83.6693,636,33030.73,62.5
Easton,40.6972,-75.2868,630,31483.01,71.8
Laconia,43.5359,-71.4665,630,30707.02,54.9
Downers Grove,41.8077,-88.0341,622,26511.7,93.1
Long Island City,40.7535,-73.9197,609,22206.33,77.5
Somerville,40.5801,-74.6018,598,39866.94,110.6
Rockville Centre,40.6569,-73.6284,579,50281.6,82.4
Silver Spring,39.0794,-76.9487,575,35588.25,102.8
Canfield,41.0248,-80.7703,575,41531.06,56.5
Bloomfield Hills,42.6052,-83.2915,574,35688.6,82.3
Newark,39.6869,-75.741,561,28769.67,70.9
Depew,42.8904,-78.6969,549,23935.01,62.7
Paramus,40.9721,-74.0805,548,53137.65,46.7
Little Falls,40.8868,-74.2166,547,36679.9,67.6
Manchester,42.9513,-71.4408,547,26810.14,45.0
Wall Township,40.2203,-74.1302,546,28333.83,37.9
Sewell,39.7513,-75.1119,545,28219.3,45.2
Staten Island,40.5976,-74.0836,541,26298.77,43.6
Old Bridge,40.4538,-74.297,541,25291.67,38.1
Washington,42.7603,-83.0181,530,32867.92,82.6
East Petersburg,40.0963,-76.351,525,27129.12,109.0
Elgin,42.031,-88.2437,525,24021.03,99.0
Naugatuck,41.5121,-73.0218,524,13445.76,47.4
Valparaiso,41.4613,-87.0859,517,37674.63,86.6
Youngstown,41.0053,-80.6627,513,26712.96,53.0
New Rochelle,40.92,-73.7659,499,27845.14,59.4
Columbia,39.187,-76.8191,495,38443.84,83.6
Southfield,42.4951,-83.2869,495,25294.35,115.8
Highland,41.5344,-87.4711,493,30943.94,91.3
Stamford,41.0473,-73.5286,492,24236.47,113.1
Plainwell,42.4498,-85.6603,491,30718.71,77.9
Mattoon,39.4608,-88.377,491,34828.45,77.8
Beacon,41.5106,-73.9525,489,27527.18,80.4
Albany,42.6772,-73.7871,487,27169.43,68.9
Burlington Township,40.0696,-74.8565,484,25790.13,54.2
